7900,0.00102242,9.04124,148.161
7950,0.00102089,9.04124,146.752
8000,0.00102012,9.04075,145.802
8050,0.00102012,9.04061,145.723
8100,0.00102012,9.03987,145.449
8150,0.00102012,8.95946,145.394
8200,0.00102012,8.93058,145.394
8250,0.00102012,8.92719,145.394
8300,0.00102012,8.92719,145.39
8350,0.00102012,8.9236,145.381
8400,0.00101082,8.92312,145.381
8450,0.00101082,8.92312,145.38
8500,0.00101082,8.92312,145.379
8550,0.00101082,8.92291,145.378
8600,0.00101082,8.92227,145.377
8650,0.00101082,8.92095,142.981
8700,0.00101082,8.91375,129.512
8750,0.00101082,8.91375,129.512
8800,0.00101082,8.91328,129.393
8850,0.00100899,8.913,128.625
8900,0.00100669,8.913,128.625
8950,0.00100429,8.90658,124.755
9000,0.00100423,8.90034,115.269
9050,0.0010032,8.89864,112.116
9100,0.00100243,8.89796,106.047
9150,0.00100053,8.89796,104.778
9200,0.00100053,8.89796,104.76
9250,0.000999494,8.89796,104.446
9300,0.000997362,8.89796,104.431
9350,0.000997362,8.89732,104.417
9400,0.000997362,8.89732,104.355
9450,0.00099736,8.89634,104.351
9500,0.00099736,8.62458,104.332
9550,0.00099736,8.62458,104.332
9600,0.00099736,8.6199,104.332
9650,0.000997163,8.59601,104.332
9700,0.00099494,8.59042,103.012
9750,0.00099383,8.5735,103.012
9800,0.000993755,8.56593,103.012
9850,0.000993731,8.56476,103.012
9900,0.000993719,8.56034,93.61
9950,0.00099246,8.56034,87.1246
10000,0.000990778,8.56019,81.6649
10050,0.000990778,8.55998,79.2696
10100,0.000990221,8.55998,77.7007
10150,0.000990221,8.55998,77.4713
10200,0.000990221,8.55998,76.7632
10250,0.00098949,8.55998,76.2728
10300,0.00098949,8.55825,76.2728
10350,0.00098921,8.55133,76.2728
10400,0.000987538,8.52816,76.2516
10450,0.000977986,8.46107,76.2241
10500,0.00093693,8.45684,76.2155
10550,0.000932967,8.44653,76.2155
10600,0.000931876,8.43062,76.2155
10650,0.000931876,8.42337,76.2155
10700,0.000931441,8.41807,72.9358
10750,0.000928111,8.35886,72.9358
10800,0.000928111,8.35886,71.2639
10850,0.000926576,8.35886,71.1746
10900,0.000925984,8.35886,69.138
10950,0.000925519,8.35886,68.0906
11000,0.000925227,8.35881,65.5893
11050,0.000924354,8.35531,62.5726
11100,0.000924354,8.35424,58.6609
11150,0.000924354,8.34489,58.6609
11200,0.000924354,8.34488,58.3116
11250,0.000924354,8.34481,58.2614
11300,0.000924322,8.34481,58.2337
11350,0.000924307,8.32353,58.1876
11400,0.000924068,8.32166,58.151
11450,0.000923885,8.31761,58.151
11500,0.000921842,8.31703,58.151
11550,0.000921465,8.31455,58.151
11600,0.000921314,8.31455,58.15
11650,0.000921283,8.30212,58.1495
11700,0.000920921,8.28914,58.1495
11750,0.000920781,8.28914,57.9307
11800,0.000920757,8.28906,57.7713
11850,0.000920738,8.28906,57.0715
11900,0.000920738,8.28891,54.1977
11950,0.000920462,8.28771,53.3741
12000,0.000920075,8.28771,52.0361
12050,0.000920075,8.27472,50.7909
12100,0.000915803,8.26059,50.5551
12150,0.000914667,8.25854,50.0148
12200,0.000914426,8.25573,49.6025
12250,0.00091272,8.25507,49.4225
12300,0.00091272,8.25415,49.4033
12350,0.000912271,8.25206,49.3455
12400,0.000910834,8.25169,49.3455
12450,0.000908804,8.25153,49.3422
12500,0.00090811,8.2515,49.3353
12550,0.000907544,8.25148,49.3353
12600,0.000907292,8.25148,49.3347
12650,0.000907292,8.25148,48.9297
12700,0.000907292,8.24649,48.4049
12750,0.000907292,8.24649,47.4683
12800,0.000907018,8.23711,45.9561
12850,0.000906388,8.23501,45.9561
12900,0.000906357,8.23501,45.8927
12950,0.000906353,8.23488,42.6903
13000,0.000906353,8.23488,42.0179
13050,0.000875004,8.23476,41.2069
13100,0.000872982,8.23462,40.8332
13150,0.000872448,8.22914,40.2949
13200,0.000871014,8.22711,40.1242
13250,0.000870794,8.22711,40.0751
13300,0.0008707,8.22711,40.0751
13350,0.000870639,8.22449,39.7118
13400,0.000870639,8.22449,39.647
13450,0.000870639,8.22227,39.5536
13500,0.000870639,8.22182,39.5536
13550,0.000870639,8.2216,39.5536
13600,0.000870639,8.22157,39.5529
13650,0.000870639,8.20585,39.5529
13700,0.00087015,8.18616,38.5441
13750,0.00087015,8.18027,37.3218
13800,0.000868922,8.17891,37.3015
13850,0.000868922,8.17556,37.0437
13900,0.000868371,8.1671,37.0118
13950,0.000868177,8.16601,37.0118
